timestamp,temperature,humidity,wind_speed,wind_direction,pressure,boundary_layer_height,pm2_5,pm10,no2,o3,co
2022-08-01T00:00,25.2,95,11.2,147,974.7,165.0,,,,,
2022-08-01T01:00,24.9,97,4.7,171,974.5,155.0,,,,,
2022-08-01T02:00,24.8,97,7.7,152,974.7,115.0,,,,,
2022-08-01T03:00,24.9,96,3.8,107,974.8,45.0,,,,,
2022-08-01T04:00,24.9,97,9.8,172,974.8,25.0,,,,,
2022-08-01T05:00,24.5,96,9.5,241,976.0,35.0,,,,,
2022-08-01T06:00,24.5,97,9.4,268,976.6,40.0,,,,,
2022-08-01T07:00,24.5,94,1.0,225,976.9,160.0,,,,,
2022-08-01T08:00,25.5,91,2.9,180,976.7,310.0,,,,,
2022-08-01T09:00,26.5,84,3.6,180,976.9,455.0,,,,,
2022-08-01T10:00,28.0,77,2.8,220,977.4,670.0,,,,,
2022-08-01T11:00,28.4,76,2.8,310,977.5,795.0,,,,,
2022-08-01T12:00,29.7,72,1.9,292,976.9,885.0,,,,,
2022-08-01T13:00,30.1,70,1.1,180,976.1,870.0,,,,,
2022-08-01T14:00,30.4,69,1.6,243,975.2,1035.0,,,,,
2022-08-01T15:00,30.8,69,2.2,270,974.4,925.0,,,,,
2022-08-01T16:00,30.9,67,1.5,284,973.9,555.0,,,,,
2022-08-01T17:00,30.5,69,1.0,315,974.8,495.0,,,,,
2022-08-01T18:00,30.1,72,3.3,257,974.8,390.0,,,,,
2022-08-01T19:00,28.4,83,5.2,258,974.7,180.0,,,,,
2022-08-01T20:00,27.6,87,4.7,279,975.2,115.0,,,,,
2022-08-01T21:00,27.4,88,5.2,282,975.6,90.0,,,,,
2022-08-01T22:00,27.0,88,5.1,274,975.8,65.0,,,,,
2022-08-01T23:00,26.4,91,5.4,250,975.9,55.0,,,,,
2022-08-02T00:00,25.9,94,5.0,240,975.8,50.0,,,,,
2022-08-02T01:00,25.5,96,5.9,259,975.5,45.0,,,,,
2022-08-02T02:00,25.2,96,5.5,293,975.5,45.0,,,,,
2022-08-02T03:00,25.1,97,5.4,323,975.4,40.0,,,,,
2022-08-02T04:00,25.3,96,4.7,328,975.4,40.0,,,,,
2022-08-02T05:00,26.6,94,2.4,27,974.6,30.0,,,,,
2022-08-02T06:00,26.9,94,0.5,135,975.3,40.0,,,,,
2022-08-02T07:00,28.0,89,3.0,194,975.6,120.0,,,,,
2022-08-02T08:00,29.5,83,2.6,196,975.9,335.0,,,,,
2022-08-02T09:00,30.8,73,2.9,263,975.8,705.0,,,,,
2022-08-02T10:00,31.8,68,4.3,270,975.9,890.0,,,,,
2022-08-02T11:00,32.5,65,4.5,256,976.0,1030.0,,,,,
2022-08-02T12:00,33.2,63,5.2,236,975.8,1155.0,,,,,
2022-08-02T13:00,33.5,62,6.6,229,975.1,1220.0,,,,,
2022-08-02T14:00,33.5,62,6.6,241,974.3,1270.0,,,,,
2022-08-02T15:00,33.6,62,6.6,248,973.6,1285.0,,,,,
2022-08-02T16:00,33.5,61,7.0,258,973.2,1255.0,,,,,
2022-08-02T17:00,32.3,64,5.6,243,973.9,975.0,,,,,
2022-08-02T18:00,31.6,72,3.6,233,974.2,300.0,,,,,
2022-08-02T19:00,29.9,83,4.4,189,974.4,45.0,,,,,
2022-08-02T20:00,29.2,84,4.7,176,974.7,20.0,,,,,
2022-08-02T21:00,28.8,84,4.8,228,975.5,20.0,,,,,
2022-08-02T22:00,28.5,85,6.6,225,975.9,20.0,,,,,
2022-08-02T23:00,28.0,87,6.6,221,976.1,30.0,,,,,
2022-08-03T00:00,27.5,88,5.5,203,975.9,35.0,,,,,
2022-08-03T01:00,26.9,91,4.0,180,975.6,35.0,,,,,
2022-08-03T02:00,26.5,93,4.0,190,975.5,40.0,,,,,
2022-08-03T03:00,26.4,94,4.5,209,975.6,45.0,,,,,
2022-08-03T04:00,26.2,95,4.1,225,975.9,40.0,,,,,
2022-08-03T05:00,27.2,89,10.0,218,975.7,50.0,,,,,
2022-08-03T06:00,27.3,90,9.1,198,976.4,35.0,,,,,
2022-08-03T07:00,27.9,89,8.6,213,977.1,95.0,,,,,
2022-08-03T08:00,29.1,83,7.4,209,977.5,245.0,,,,,
2022-08-03T09:00,30.2,79,5.2,192,977.8,570.0,,,,,
2022-08-03T10:00,31.5,74,4.7,180,977.8,975.0,,,,,
2022-08-03T11:00,32.7,67,3.2,153,977.7,1110.0,,,,,
